Station Name,State,Data Type,Value,Value_Type,Date
Grand Targhee, WY,PRECIPITATION INCREMENT,1.0,in,06/06/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.9,in,06/07/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,06/08/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.2,in,06/09/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.4,in,06/10/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.1,in,06/11/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,06/12/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.3,in,06/13/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,06/14/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.3,in,06/15/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.3,in,06/16/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.1,in,06/17/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.1,in,06/18/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,06/19/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,06/20/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,06/21/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.1,in,06/22/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.1,in,06/23/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,06/24/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,06/25/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,06/26/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,06/27/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,06/28/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,06/29/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,06/30/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,07/01/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,07/02/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,07/03/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,07/04/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,07/05/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,07/06/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,07/07/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,07/08/2010
Grand Targhee, WY,PRECIPITATION INCREMENT,0.0,in,07/09/2010
