zip,city,county,pop
98647,Skamokawa,Wahkiakum,308
98821,Dryden,Chelan,306
98590,Tokeland,Pacific,305
99135,Hartline,Grant,301
99149,Malden,Whitman,299
99335,Kahlotus,Franklin,292
98527,Bay Center,Pacific,285
98571,Pacific Beach,Grays Harbor,278
99124,Elmer City,Okanogan,271
98621,Grays River,Wahkiakum,269
98628,Klickitat,Klickitat,263
99322,Bickleton,Klickitat,242
98940,Ronald,Kittitas,241
98860,Wilson Creek,Grant,235
98288,Skykomish,King,231
99018,Latah,Spokane,230
99121,Danville,Ferry,217
98224,Baring,King,214
98526,Amanda Park,Grays Harbor,208
98811,Ardenvoir,Chelan,207
98832,Marlin,Grant,206
98834,Methow,Okanogan,199
98602,Appleton,Klickitat,185
98819,Conconully,Okanogan,183
98817,Chelan Falls,Chelan,177
98164,Seattle,King,177
99131,Gifford,Stevens,176
98859,Wauconda,Okanogan,174
98582,Salkum,Lewis,172
99356,Roosevelt,Klickitat,167
98614,Chinook,Pacific,164
98255,Hamilton,Skagit,164
98286,Shaw Island,San Juan,158
99176,Thornton,Whitman,150
98583,Satsop,Grays Harbor,149
99359,Starbuck,Columbia,141
98833,Mazama,Okanogan,139
98575,Quinault,Grays Harbor,139
99329,Dixie,Walla Walla,135
99345,Paterson,Benton,133
98921,Buena,Yakima,127
99017,Lamont,Whitman,126
99147,Lincoln,Lincoln,123
98560,Matlock,Mason,115
98616,Cougar,Cowlitz,113
99160,Orient,Ferry,112
99152,Metaline,Pend Oreille,105
98330,Elbe,Pierce,102
99151,Marcus,Stevens,102
98939,Parker,Yakima,91
98364,Port Gamble,Kitsap,88
98222,Blakely Island,San Juan,84
98263,Lyman,Skagit,83
98536,Copalis Crossing,Grays Harbor,76
98235,Clearlake,Skagit,73
99039,Waverly,Spokane,72
98544,Galvin,Lewis,63
98950,Vantage,Kittitas,57
99174,Steptoe,Whitman,56
98297,Waldron,San Juan,48
98195,Seattle,King,48
98562,Moclips,Grays Harbor,47
99333,Hooper,Whitman,40
98670,Wahkiacus,Klickitat,39
99105,Benge,Adams,37
99034,Tumtum,Stevens,34
99154,Mohler,Lincoln,31
99146,Laurier,Ferry,24
98641,Oysterville,Pacific,23
99144,Lamona,Lincoln,18
98353,Manchester,Kitsap,18
99136,Hay,Whitman,17
98852,Stehekin,Chelan,15
